grievanceIds,summary,category,subcategory,urgencyLevel,progress,timeline,attachments,notifications,departmentId
"['GRV001']",Pothole on Main Street,Road Maintenance,Potholes,High,Open,{"reported": "2025-01-10T08:00:00Z"},[],[],DEPT001
"['GRV002']",Streetlight not working on 5th Avenue,Public Lighting,Streetlight Outage,Medium,In Progress,{"reported": "2025-01-11T09:00:00Z", "assigned": "2025-01-12T10:00:00Z"},[],[],DEPT002
"['GRV003']",Overflowing garbage bins in Park Area,Sanitation,Garbage Overflow,High,Open,{"reported": "2025-01-12T07:30:00Z"},[],[],DEPT003
"['GRV004']",Broken water pipe near Elm Street,Water Supply,Pipe Leakage,Critical,In Progress,{"reported": "2025-01-13T06:45:00Z", "assigned": "2025-01-13T08:00:00Z"},[],[],DEPT004
"['GRV005']",Unauthorized construction in Green Zone,Urban Planning,Illegal Construction,Medium,Open,{"reported": "2025-01-14T10:15:00Z"},[],[],DEPT005
"['GRV006']",Noise pollution from factory at night,Environmental Issues,Noise Pollution,High,Open,{"reported": "2025-01-15T11:20:00Z"},[],[],DEPT006
"['GRV007']",Fallen tree blocking Oak Road,Public Safety,Obstructions,Critical,In Progress,{"reported": "2025-01-16T09:10:00Z", "assigned": "2025-01-16T09:30:00Z"},[],[],DEPT007
"['GRV008']",Open manhole on Pine Street,Road Maintenance,Manhole Issues,High,Open,{"reported": "2025-01-17T08:50:00Z"},[],[],DEPT001
"['GRV009']",Water contamination in Riverdale area,Water Supply,Water Quality,Critical,In Progress,{"reported": "2025-01-18T07:40:00Z", "assigned": "2025-01-18T08:00:00Z"},[],[],DEPT004
"['GRV010']",Frequent power outages in Downtown,Electricity Supply,Power Outage,High,Open,{"reported": "2025-01-19T10:00:00Z"},[],[],DEPT008
"['GRV011']",Illegal dumping in vacant lot,Sanitation,Illegal Dumping,Medium,Open,{"reported": "2025-01-20T11:30:00Z"},[],[],DEPT003
"['GRV012']",Damaged traffic signal at 3rd and Main,Traffic Management,Signal Malfunction,High,In Progress,{"reported": "2025-01-21T09:20:00Z", "assigned": "2025-01-21T10:00:00Z"},[],[],DEPT009
"['GRV013']",Public park equipment broken,Parks and Recreation,Equipment Damage,Medium,Open,{"reported": "2025-01-22T08:10:00Z"},[],[],DEPT010
"['GRV014']",Sewage overflow in residential area,Sanitation,Sewage Overflow,Critical,In Progress,{"reported": "2025-01-23T07:00:00Z", "assigned": "2025-01-23T07:30:00Z"},[],[],DEPT003
"['GRV015']",Graffiti on public library wall,Public Property,Vandalism,Low,Open,{"reported": "2025-01-24T10:45:00Z"},[],[],DEPT011
"['GRV016']",Broken bench in central park,Parks and Recreation,Equipment Damage,Low,Open,{"reported": "2025-01-25T09:35:00Z"},[],[],DEPT010
"['GRV017']",Street flooding after rain,Drainage,Flooding,High,Open,{"reported": "2025-01-26T08:25:00Z"},[],[],DEPT012
"['GRV018']",Overgrown trees blocking signage,Public Safety,Obstructions,Medium,Open,{"reported": "2025-01-27T07:15:00Z"},[],[],DEPT007
"['GRV019']",Abandoned vehicle on Maple Street,Public Safety,Abandoned Vehicle,Low,Open,{"reported": "2025-01-28T10:05:00Z"},[],[],DEPT007
"['GRV020']",Leaking fire hydrant on Birch Avenue,Water Supply,Pipe Leakage,Medium,Open,{"reported": "2025-01-29T11:55:00Z"},[],[],DEPT004
"['GRV021']",Unauthorized street vendors blocking sidewalk,Urban Planning,Illegal Vending,Medium,Open,{"reported": "2025-01-30T09:45:00Z"},[],[],DEPT005
"['GRV022']",Construction noise beyond permitted hours,Environmental Issues,Noise Pollution,Medium,Open,{"reported": "2025-01-31T08:35:00Z"},[],[],DEPT006
"['GRV023']",Damaged pedestrian crossing at Elm and 2nd,Road Maintenance,Crosswalk Damage,High,Open,{"reported": "2025-02-01T07:25:00Z"},[],[],DEPT001
"['GRV024']",Overflowing storm drain on Cedar Road,Drainage,Blocked Drain,High,Open,{"reported": "2025-02-02T06:15:00Z"},[],[],DEPT012
"['GRV025']",Faded road markings on Highway 21,Road Maintenance,Faded Markings,Medium,Open,{"reported": "2025-02-03T10:50:00Z"},[],[],DEPT001